DORM,ADDRESS,DESCRIPTION,COLLEGE,THUMBNAIL_IMAGE,SUITE,WALKTHROUGH,SINGLE_,DOUBLE_,TRIPLE_,PROS,CONS,LATITUDE,LONGITUDE,LOTTERY_NUMS,CLASS_MAKEUP
"Woodbridge Hall","431 Riverside Drive","Woodbridge Hall is on Riverside Drive between 115th and 116th Street. The dorm consists of mostly juniors and seniors, with apartment-style rooms that can be used either as a walk-through double or a regular double with a living room. In each one-bedroom apartment there is also a private kitchen and bathroom. Its vicinity to Riverside Park and relative location from campus is perfect for upperclassmen students who want to feel more independent and experience a residential experience that is closer to living in the real world.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/HZOJ4YFXDRHEPPLEWBJNV4ZGGA.jpg,,0,1,1,0,"Apartment-style with private kitchen & bathroom,Large rooms,Gym on 1st floor'","No A/C,Distance from campus (on Riverside)'",40.808601,-73.966095,placeholder,"sophomores,juniors,seniors"
"Hewitt Hall","The Quad (3009 Broadway)","Hewitt Hall is perfect for any upperclassmen that miss the convenience of living in the quad. It is predominately made up of singles, with a smattering of doubles and a shared bathroom. Although you will be enrolled on the quad meal plan, residents also have access to the Sulz kitchen if they want to cook. Living in Hewitt, you are in close proximity to the subway station, Hewitt dining hall, classes on Barnard campus and all the great restaurants on Broadway. Hewitt is perfect for anyone who appreciates having their own privacy, but still enjoys the lively atmosphere of living on the quad. '",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/OIU3XCRAH5EQPA5EVXQUNF644M.jpg,,0,1,1,1,"Many singles,There is a computer lab in the basement'","No A/C,Shared bathrooms and kitchen'",40.80878,-73.96411,placeholder,"sophomores,juniors,seniors"
"Elliot Hall","49 Claremont Avenue","If you're looking for a quiet, independent living space with close proximity to Barnard's campus, Elliott Hall is ideal. This dorm is comprised of primarily singles and a few doubles, occupied by sophomores and juniors (including transfers.) The floors are laid out to include one lounge, 2 shared kitchens, 2 shared bathrooms, and two clusters of 12 rooms each. In addition to quiet privacy, residents enjoy close proximity to Riverside Park and a convenient backdoor entrance to the newly beloved Milstein Center. Residents at Elliott can quickly access the mailroom, Barnard gym, and library by merely crossing the street.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/MJEY3WTKGREW3AZP45BXXGKBYE.jpg,,0,1,1,0,"Location,Kitchens and bathrooms are never crowded'","Singles are tiny,Mouse problem'",40.81025,-73.96388,placeholder,"sophomores,juniors,seniors"
"Sulzberger Tower","The Quad (3009 Broadway)","Sulzberger Tower is located in the Barnard quad and consists of single and double rooms on the 9th floor to the 19th floor of the Sulzberger building. Well known for its magnificent view overlooking the Hudson River and the Morningside Heights neighborhood, Sulzberger Tower is very popular among rising seniors, making it almost impossible for other upperclassmen to get. It has the practicality of the quad (close dining halls and classroom) without the rowdiness and noise level that you might expect from the quad, which is a quality you won’t find in the other Barnard dorms.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/PJM4UI6IVZDF3KTP2ZFCEGPMPM.jpg,,0,1,1,0,"Location,Nice View,Quiet'","Shared floor bathroom and kitchens,Laundry only available on 8th floor'",40.81103,-73.95316,placeholder,"sophomores,juniors,seniors"
"600 W 116th St.","600 West 116th Street","Just down the street from Shake Shack, 600 has the prime location of being proximal to Riverside Park, Barnard's campus, and the west side of College Walk. With 2-7 person suites, residents of 600 enjoy a shared kitchen, dining area, and bathroom. 600 is occupied by upperclass students who want suite-style living, and share the building with non-tenant occupants. In addition to rooms with beautiful views, residents of 600 also enjoy larger rooms than those in primarily sophomore/freshman housing.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CM7D2EHEZND3FGBCDIOVQKMUXI.jpg,,0,1,1,0,"Location, Large rooms, Nice views on higher floors'     ","No A/C, Mice and roaches, Mostly doubles unless you are a senior'",40.80795,-73.96445,placeholder,"sophomores,juniors,seniors"
"616 W 116th St.","616 W 116th St.","616 is prime real estate on campus, and we're not just talking about how close it is to the Shake Shack. This dorm is steps away from Barnard campus and the west side of College Walk. 616 has suite style accomodations, featuring shared dining areas, kitchens, and bathrooms. 616 is known to have some nice views on the higher floors, and is a coveted living space by Barnard students, so it's mainly housed by upperclassmen.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/W3YVQ22ELBC3DGNRZ3LEBCJU6E.jpg,,0,1,1,0,"Location,  Suite Style, Computer lab and nice lounge on first floor'","Wind tunnel, Mouse problem this year, Unlikely to get in as an underclassmen, No A/C'",40.80827,-73.96523,placeholder,"sophomores,juniors,seniors"
"620 W 116th St.","620 W 116th St.","620 is the goal for many Barnard upperclassmen, and it's easy to see why. It's steps from the Claremont entrance to the Milstein Center (hello, tunnels? You'll never have to battle the elements again) and the west side of College Walk. Proximity to Morton Williams is a plus, as well as beautiful views on the higher floors. '",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/S3O4XE2NQNBIPM3HMBRLRWTE7E.jpg,,0,1,1,0,"Nice views from higher up, Suite Style'     ","Wind tunnel, No A/C, No computer lab'",40.80838,-73.96548,placeholder,"sophomores,juniors,seniors"
"601 W 110th St.","601 W 110th St.","If you want to feel like an actual adult, 601 W 110th is for you. Barnard leases space in this building, which means most tenants are *gasp* real people. It's proximity to Westside is absolutely prime, and although some might complain about the distance from Barnard campus, it's really not that far.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/ZPQEXFLWVZFTRMZGXYFFEZJLAQ.jpg,,0,1,1,1,"Proximity to Westside Market, Nice sized suites'","Distance from campus, Bug problems, No A/C'",40.80189,-73.96127,placeholder,"sophomores,juniors,seniors"
"Cathedral Gardens","217 Manhattan Ave","Cathedral Gardens, located at the corner of 110th street and Manhattan Avenue, is the farthest Barnard dorm from campus. Although the location may have its drawbacks, it is made up of some of the largest apartment style suites Barnard housing offers. Each suite has its own private bathroom(s) as well as a kitchen and a lounge area. Cathedral Gardens houses mostly seniors or very lucky juniors and sophomores. Since it is secluded from the main campus, dining halls will be pretty far, but there are still a variety of affordable restaurants and a grocery store close enough to make up for the distance.'",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/M536CBWKSRG5TBZZX7PUWGC6DE.jpg,,0,1,1,0,"A/C, Spacious Suites, Private bathroom and kitchen'       ","Distance from Campus, One laundry room on 10th floor'               ",40.80081,-73.9601,placeholder,"sophomores,juniors,seniors"
"Plimpton Hall","1235 Amsterdam Avenue","On the corner of 121st and Amsterdam, Plimpton is the ideal dorm for students who want to be near campus, but not caught up in the bustle. It comprises of apartment-style suites of four singles and a large double. It also includes its own lounge, computer lab, laundry room and houses the Barnard Clay Studio! Although it seems far, in reality, it is only a 7-minute walk away. Furthermore, it is conveniently located on top of a 24 four hour grocery store where you can buy late night snacks or grab lunch. Plimpton is a refreshing dorm that allows you to discover another side of Morningside Heights and Harlem while still being in close vicinity to campus. '",BARNARD,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/TLXZGID7WZFQFOT2QXJU6NZ3NQ.jpg,,0,1,1,0,"Large rooms, Private bathroom and kitchen, A/C'","Distance to campus'",40.8097,-73.95854,placeholder,"sophomores,juniors,seniors"
"McBain Hall","562 West 113th Street","Located conveniently on the corner of 113th and Broadway, McBain Hall is one of the most popular housing choices for sophomores at Columbia. McBain has mostly doubles with some singles in a corridor-style hall, and has shared kitchens on each floor. If you currently enjoy living in Carman, or are looking for a residence hall that knows how to have fun, McBain would be a great option for you to consider! You'll be close to many of your sophomore friends, and popular restaurants (such as Community Food & Juice) are barely a minute away.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/U4MR5UO2A5BJXGOTMXL6ZA2RYI.jpg,,0,1,1,0,"Fitness room on the 4th floor,Computer lab on 1st floor,Bathrooms and kitchens on each floor are cleaned daily,Large doubles with great views'","No A/C,Two elevators – both of which are slow,May be noisy due to social atmosphere,Shaft doubles have no views and are fairly undesirable'",40.805931,-73.964951,placeholder,"sophomores,juniors,seniors"
